Film,Année,Catégorie,Genre,Durée (min),Metascore,Score imdb,Nb votes,CA(gross)
Bad Company,2002,Tous publics,"['Action', 'Comedy', 'Thriller']",116,37,56.0,44476,30160161
Always Be My Maybe,2019,13,"['Comedy', 'Romance']",101,64,68.0,4,NaN
Le Passé,2013,Tous publics,"['Drama', 'Mystery']",130,85,78.0,44459,1330596
Manhattan Lockdown,2019,Tous publics avec avertissement,"['Action', 'Crime', 'Thriller']",99,51,66.0,4,NaN
Saved!,2004,Tous publics,"['Comedy', 'Drama']",92,62,67.0,44366,8940582
Le Pacte,2011,Tous publics,"['Action', 'Crime', 'Drama']",105,38,62.0,44359,41081
28 jours en sursis,2000,Tous publics,"['Comedy', 'Drama']",103,46,61.0,44348,37170488
Coup d'éclat,2004,Tous publics,"['Action', 'Comedy', 'Crime']",97,38,63.0,44315,28331233
Mongol,2007,R,"['Action', 'Biography', 'Drama']",126,74,72.0,44294,5701643
The Rover,2014,12,"['Action', 'Crime', 'Drama']",103,64,64.0,44285,1109199
Cosmopolis,2012,Tous publics,"['Crime', 'Drama', 'Fantasy']",109,58,51.0,44277,743636
Le fils de Saul,2015,12,"['Drama', 'War']",107,91,75.0,44244,1777043
No Man's Land,2001,Tous publics,"['Comedy', 'Drama', 'War']",98,84,79.0,44206,1059830
Loin de la foule déchaînée,2015,Tous publics,"['Drama', 'Romance']",119,71,71.0,44200,12229314
La Prophétie de l'horloge,2018,Tous publics avec avertissement,"['Comedy', 'Family', 'Fantasy']",105,57,60.0,44098,68549695
King Rising - Au nom du Roi,2007,PG-13,"['Action', 'Adventure', 'Fantasy']",127,15,38.0,44082,4535117
Jusqu'au cou,2004,Tous Public,"['Adventure', 'Comedy', 'Mystery']",95,29,59.0,44030,58169327
L'enfer du devoir,2000,Tous publics,"['Drama', 'Thriller', 'War']",128,45,64.0,44003,61335230
Secret d'état,2014,R,"['Biography', 'Crime', 'Drama']",112,60,69.0,43957,2450846
Black Death,2010,R,"['Action', 'Adventure', 'Drama']",102,71,64.0,43931,22554
The Upside - Seconde Chance,2017,16,"['Comedy', 'Drama']",126,46,69.0,43854,108252517
The Ridiculous 6,2015,NaN,"['Action', 'Adventure', 'Comedy']",119,18,48.0,4,NaN
Hobo with a Shotgun,2011,16,"['Action', 'Comedy', 'Horror']",86,55,61.0,43728,703002
How It Ends,2018,13,"['Action', 'Adventure', 'Drama']",113,36,50.0,4,NaN
Réussir ou mourir,2005,12,"['Biography', 'Crime', 'Drama']",117,45,54.0,43696,30981850
Think Like a Man,2012,Tous publics,"['Comedy', 'Romance']",123,51,65.0,43652,91547205
Royal Affair,2012,Tous publics,"['Biography', 'Drama', 'History']",137,73,75.0,43651,1546761
Les chroniques de Noël,2018,7,"['Adventure', 'Comedy', 'Family']",104,52,71.0,4,NaN
Hotel Artemis,2018,Tous publics avec avertissement,"['Action', 'Crime', 'Drama']",94,58,61.0,43608,6708147
The matador - Même les tueurs ont besoin d'amis,2005,R,"['Comedy', 'Crime', 'Thriller']",96,65,67.0,43599,12594698
Loin du paradis,2002,Tous publics,"['Drama', 'Romance']",107,84,73.0,43565,15854988
Silent Voice,2016,Tous publics,"['Animation', 'Drama', 'Family']",130,78,81.0,4,NaN
Toni Erdmann,2016,Tous publics,"['Comedy', 'Drama']",162,93,74.0,43499,1478960
Vous allez rencontrer un bel et sombre inconnu,2010,Tous Public,"['Comedy', 'Drama', 'Romance']",98,51,63.0,43471,3247816
Destination: Graceland,2001,12,"['Action', 'Comedy', 'Crime']",125,21,60.0,43430,15738632
Ghost Bastards - Putain de fantôme,2013,R,"['Comedy', 'Fantasy', 'Horror']",86,20,50.0,43412,40041683
Waitress,2007,Tous Public,"['Comedy', 'Drama', 'Romance']",108,75,70.0,43373,19067631
Les 3 royaumes,2008,R,"['Action', 'Adventure', 'Drama']",288,73,74.0,43357,627047
The Belko Experiment,2016,16,"['Horror', 'Thriller']",89,44,61.0,43336,10164675
The Company Men,2010,R,['Drama'],104,69,67.0,43333,4439063
Traqué,2003,12,"['Action', 'Crime', 'Drama']",94,40,61.0,43317,34238611
Goodnight Mommy,2014,12,"['Horror', 'Mystery', 'Thriller']",99,81,67.0,43291,1168902
Kung Pow: Enter the Fist,2002,PG-13,"['Action', 'Comedy']",81,14,62.0,43205,16033556
Shall we dance? La nouvelle vie de Monsieur Clark,2004,Tous Public,"['Comedy', 'Drama', 'Music']",106,47,61.0,43162,57890460
Million Dollar Arm,2014,Tous Public,"['Biography', 'Drama', 'Sport']",124,56,70.0,43136,36447959
Shaft,2019,16,"['Action', 'Comedy', 'Crime']",111,40,64.0,43108,21360215
Opération Anthropoid,2016,R,"['Action', 'Biography', 'Drama']",120,59,72.0,43080,2959288
Alvin et les Chipmunks 2,2009,Tous Public,"['Animation', 'Adventure', 'Comedy']",88,41,45.0,43042,219614612
L'assistant du vampire,2009,Tous Public,"['Action', 'Adventure', 'Fantasy']",119,43,58.0,43030,14046595
Honey,2003,Tous publics,"['Drama', 'Music', 'Romance']",94,37,54.0,43009,30308417
Candy,2006,R,"['Drama', 'Romance']",116,57,72.0,42999,44720
Two for the Money,2005,R,"['Crime', 'Drama', 'Sport']",122,50,63.0,42993,22862049
12 heures,2012,Tous Public,"['Action', 'Crime', 'Thriller']",96,43,55.0,42955,304318
Les faussaires,2007,Tous publics,"['Crime', 'Drama', 'History']",99,78,76.0,42933,5484715
Child's Play: La poupée du mal,2019,12,"['Horror', 'Sci-Fi']",90,48,58.0,42921,29208403
Les poings contre les murs,2013,12,"['Crime', 'Drama']",106,81,74.0,42886,34100
DOA: Dead or Alive,2006,PG-13,"['Action', 'Adventure', 'Mystery']",87,38,48.0,42885,480314
Terreur sur la ligne,2006,PG-13,"['Horror', 'Thriller']",87,27,51.0,42879,47860214
Proof,2005,Tous Public,"['Drama', 'Mystery']",100,64,67.0,42832,7524766
The Colony,2013,NaN,"['Action', 'Sci-Fi', 'Thriller']",95,28,53.0,4,NaN
The Good Girl,2002,R,"['Drama', 'Romance']",93,71,64.0,42726,14015786
Banlieue 13: Ultimatum,2009,Tous publics,"['Action', 'Crime', 'Thriller']",101,64,65.0,42659,36039
La maison sur l'océan,2001,Tous publics,['Drama'],125,45,75.0,42647,15652637
Les Chemins du triomphe,2006,PG,"['Biography', 'Drama', 'Sport']",118,58,72.0,42639,42643187
Dhoom 3,2013,Tous publics,"['Action', 'Thriller']",172,61,54.0,42610,8031955
Aux yeux de tous,2015,Tous publics avec avertissement,"['Crime', 'Drama', 'Mystery']",111,45,63.0,42522,20180155
Somewhere,2010,Tous publics,"['Comedy', 'Drama']",97,67,63.0,42472,1768416
Le manoir hanté et les 999 fantômes,2003,Tous publics,"['Comedy', 'Family', 'Fantasy']",99,34,50.0,42420,75847266
"Cowboy Bebop, le film",2001,Tous publics,"['Animation', 'Action', 'Crime']",115,61,79.0,42347,1000045
Pathfinder - Le sang du guerrier,2007,12,"['Action', 'Adventure', 'Drama']",99,29,54.0,42339,10232081
The Boss,2016,R,['Comedy'],99,40,54.0,42318,63034755
Le merveilleux magasin de Mr. Magorium,2007,Tous Public,"['Comedy', 'Family', 'Fantasy']",93,48,62.0,42296,32061555
La copine de mon meilleur ami,2008,Tous publics,"['Comedy', 'Romance']",101,34,59.0,42288,19219250
Last Days of Summer,2013,Tous publics,"['Drama', 'Romance', 'Thriller']",111,52,69.0,42286,13362308
Mission G,2009,Tous Public,"['Animation', 'Action', 'Adventure']",88,41,51.0,42259,119436770
Slow West,2015,R,"['Action', 'Adventure', 'Drama']",84,72,69.0,42248,229094
Lilya 4-ever,2002,12,"['Crime', 'Drama']",109,82,78.0,42198,181655
Nine,2009,Tous Public,"['Drama', 'Musical', 'Romance']",118,49,58.0,42189,24000000
Swimming Pool,2003,Tous publics,"['Crime', 'Drama', 'Mystery']",102,70,67.0,42135,10105505
Le journal d'un dégonflé,2010,Tous Public,"['Comedy', 'Drama', 'Family']",120,56,62.0,42133,64003625
Le bon apôtre,2018,Tous publics,"['Drama', 'Fantasy', 'Horror']",130,62,63.0,4,NaN
Terrain d'entente,2005,Tous publics,"['Comedy', 'Drama', 'Romance']",104,56,62.0,42092,42071069
MacGruber,2010,R,"['Action', 'Comedy']",90,43,55.0,42084,8460995
The Laundromat: L'affaire des Panama Papers,2019,16,"['Comedy', 'Crime', 'Drama']",95,57,63.0,4,NaN
"Thirst, ceci est mon sang...",2009,12,"['Drama', 'Fantasy', 'Horror']",134,73,71.0,42052,296441
La Voie de la justice,2019,Tous publics,"['Biography', 'Crime', 'Drama']",137,68,76.0,4,NaN
La panthère rose 2,2009,Tous publics,"['Action', 'Adventure', 'Comedy']",92,36,56.0,41988,35922978
Baby Mama,2008,Tous Public,"['Comedy', 'Romance']",99,55,60.0,41960,60269340
La Cité interdite,2006,Tous publics,"['Action', 'Drama', 'History']",114,70,70.0,41935,6566773
CHIPS,2017,R,"['Action', 'Comedy', 'Crime']",100,28,60.0,41916,18600152
Conviction,2010,R,"['Biography', 'Crime', 'Drama']",107,61,72.0,41871,6783129
Planes,2013,Tous Public,"['Animation', 'Adventure', 'Comedy']",91,39,57.0,41852,90288712
"Sea, sex and fun",2009,PG-13,"['Comedy', 'Sport']",90,31,61.0,41809,17231291
Snoopy et les Peanuts: Le film,2015,Tous publics,"['Animation', 'Comedy', 'Family']",88,67,71.0,41783,130178411
Disparue,2012,Tous publics,"['Action', 'Adventure', 'Mystery']",94,36,59.0,41780,11653123
Le retour,2003,NaN,['Drama'],110,82,80.0,41778,502028
Les châtiments,2007,Tous publics,"['Horror', 'Thriller']",99,36,56.0,41737,25117498
Le Voyage du Dr Dolittle,2020,Tous publics,"['Adventure', 'Comedy', 'Family']",101,26,56.0,41707,77047065
Drôles d'oiseaux,2011,Tous Public,['Comedy'],102,53,62.0,41696,7204138
Fée malgré lui,2010,Tous Public,"['Comedy', 'Family', 'Fantasy']",101,36,50.0,41679,60022256
Créance de sang,2002,Tous publics,"['Action', 'Crime', 'Drama']",110,64,64.0,41652,26199517
Dark Places,2015,12,"['Crime', 'Drama', 'Mystery']",113,39,62.0,4,NaN
Ginger Snaps,2000,12,"['Drama', 'Fantasy', 'Horror']",108,70,68.0,41615,2554
The Guilty,2018,Tous publics,"['Crime', 'Drama', 'Thriller']",85,83,75.0,41603,207140
Maggie,2015,Tous publics,"['Drama', 'Horror']",95,52,56.0,41579,187112
Imperium,2016,R,"['Biography', 'Crime', 'Drama']",109,68,65.0,4,NaN
Girls Only,2014,R,"['Comedy', 'Drama', 'Romance']",99,63,64.0,41550,440338
Alone in the Dark,2005,R,"['Action', 'Horror', 'Sci-Fi']",99,9,24.0,41515,5178569
When We First Met,2018,7,"['Comedy', 'Fantasy', 'Romance']",97,36,64.0,4,NaN
L'expérience interdite,2017,12,"['Drama', 'Horror', 'Mystery']",109,27,52.0,41468,16866403
Dr. Dolittle 2,2001,Tous publics,"['Comedy', 'Family', 'Fantasy']",87,49,47.0,41429,112952899
Effraction,2011,12,"['Crime', 'Drama', 'Thriller']",91,37,53.0,41413,16816
The Visitor,2007,PG-13,['Drama'],104,79,76.0,41328,9422422
The Meyerowitz Stories (New and Selected),2017,NaN,"['Comedy', 'Drama']",112,79,69.0,4,NaN
Un Noël de folie!,2004,Tous Public,"['Comedy', 'Family']",99,22,54.0,41302,73780539
Mudbound,2017,R,"['Drama', 'War']",134,85,74.0,4,NaN
Teeth,2007,12,"['Comedy', 'Fantasy', 'Horror']",94,57,54.0,41243,347578
Free Fire,2016,12,"['Action', 'Comedy', 'Crime']",91,63,64.0,41239,1798472
Des gens comme nous,2012,PG-13,"['Comedy', 'Drama']",114,49,71.0,41214,12412386
Happy Feet 2,2011,Tous publics,"['Animation', 'Adventure', 'Comedy']",117,50,59.0,41183,64006466
Set It Up,2018,NaN,"['Comedy', 'Romance']",105,62,65.0,4,NaN
Ben-Hur,2016,Tous Public,"['Action', 'Adventure', 'Drama']",123,38,57.0,41083,26410477
The Damned United,2009,R,"['Biography', 'Drama', 'Sport']",98,81,75.0,41056,449558
War Machine,2017,NaN,"['Comedy', 'Drama', 'War']",122,56,60.0,4,NaN
The Sessions,2012,R,"['Biography', 'Comedy', 'Drama']",95,79,72.0,41021,6002451
En sursis,2003,12,"['Action', 'Crime', 'Drama']",101,36,58.0,40994,34604054
Holy Motors,2012,Tous publics,"['Drama', 'Fantasy']",115,84,71.0,4,NaN
Flyboys,2006,Tous Public,"['Action', 'Drama', 'History']",140,47,65.0,40970,13082288
Time Lapse,2014,12,"['Horror', 'Sci-Fi', 'Thriller']",104,50,65.0,4,NaN
Trust,2010,Tous publics,"['Crime', 'Drama', 'Thriller']",106,60,69.0,40893,120016
Bobby,2006,R,"['Biography', 'Drama', 'History']",117,54,70.0,40888,11242801
Bienvenue à Monte Carlo,2011,Tous Public,"['Adventure', 'Comedy', 'Family']",109,43,58.0,40838,23186769
Friends with Kids,2011,R,"['Comedy', 'Drama', 'Romance']",107,55,61.0,40828,7250054
Byzantium,2012,12,"['Drama', 'Fantasy', 'Horror']",118,66,65.0,40817,84293
Ju-on: The grudge,2002,R,['Horror'],92,48,67.0,40813,325661
Bad Moms 2,2017,Tous publics,['Comedy'],104,42,56.0,40776,72110659
Blair Witch,2016,12,"['Horror', 'Mystery', 'Thriller']",89,47,50.0,40773,20777061
Creep,2014,R,"['Horror', 'Thriller']",77,74,63.0,4,NaN
The Inbetweeners 2,2014,NaN,['Comedy'],96,55,64.0,4,NaN
Lazarus Effect,2015,Tous publics,"['Horror', 'Mystery', 'Sci-Fi']",83,31,52.0,40666,25799043
Last Kiss,2006,Tous publics,"['Comedy', 'Drama', 'Romance']",115,57,64.0,40657,11596143
Les producteurs,2005,Tous Public,"['Comedy', 'Crime', 'Musical']",134,52,63.0,40636,19377727
Arctic,2018,Tous publics,"['Adventure', 'Drama']",98,71,68.0,40626,2410795
Rock Star,2001,R,"['Drama', 'Music']",105,54,63.0,40593,17008282
Notorious B.I.G.,2009,Tous publics,"['Biography', 'Crime', 'Drama']",122,60,67.0,40521,36842118
The House of the Devil,2009,R,"['Horror', 'Mystery']",95,73,64.0,40518,100659
Il était une fois en Anatolie,2011,NaN,"['Crime', 'Drama']",157,82,79.0,40508,138730
Recherche bad boys désespérément,2012,Tous Public,"['Action', 'Comedy', 'Crime']",91,22,53.0,40481,26414527
Balles de feu,2007,Tous publics,"['Comedy', 'Crime', 'Sport']",90,38,53.0,40475,32844290
Si Beale Street pouvait parler,2018,Tous publics,"['Drama', 'Romance']",119,87,71.0,40456,14915773
À deux mètres de toi,2019,Tous publics,"['Drama', 'Romance']",116,53,72.0,40395,45729221
A Wrinkle in Time,2018,Tous publics,"['Adventure', 'Family', 'Fantasy']",109,53,42.0,40387,100478608
Hitcher,2007,16,"['Crime', 'Thriller']",84,28,56.0,40369,16472961
Tous les espoirs sont permis,2012,Tous Public,"['Comedy', 'Drama', 'Romance']",100,65,63.0,40361,63536011
Stake Land,2010,R,"['Drama', 'Horror', 'Sci-Fi']",98,66,65.0,40353,18469
Dirty Pretty Things - Loin de chez eux,2002,R,"['Crime', 'Drama', 'Thriller']",97,78,73.0,40343,8111360
Alexandre et sa journée épouvantablement terrible et affreuse,2014,Tous publics,"['Comedy', 'Family']",81,54,62.0,40261,66954149
In America,2002,PG-13,['Drama'],105,76,77.0,40212,15539266
Big Mamma 2,2006,Tous publics,"['Comedy', 'Crime']",99,34,47.0,40200,70165972
Jamais entre amis,2015,Tous publics,"['Comedy', 'Drama', 'Romance']",101,64,65.0,40132,814775
Vegas Academy: Coup de Poker pour la Fac,2017,R,"['Comedy', 'Crime']",88,30,56.0,40119,25481529
Transamerica,2005,Tous publics,"['Adventure', 'Comedy', 'Drama']",103,66,74.0,40119,9015303
Stone,2010,R,"['Drama', 'Thriller']",105,58,54.0,40107,1796024
13,2010,R,"['Crime', 'Drama', 'Thriller']",91,29,61.0,4,NaN
Dieu n'est pas mort,2014,Tous publics,['Drama'],113,16,47.0,40069,60755732
Last Christmas,2019,Tous publics,"['Comedy', 'Drama', 'Romance']",103,50,65.0,4,NaN
The Ward - L'hôpital de la terreur,2010,R,"['Horror', 'Mystery', 'Thriller']",89,38,56.0,4,NaN
Black/White,2005,Tous Public,"['Comedy', 'Romance']",105,49,59.0,40037,68915888
Kung Fu Nanny,2010,Tous publics,"['Action', 'Comedy', 'Family']",94,27,54.0,40021,24268828
Un amour sans fin,2014,Tous publics,"['Drama', 'Romance']",104,30,63.0,39999,23393765
Millénium: Ce qui ne me tue pas,2018,Tous publics avec avertissement,"['Action', 'Crime', 'Drama']",115,43,61.0,39989,14841338
Le Sang des Templiers,2011,12,"['Action', 'Drama', 'History']",121,42,61.0,3,NaN
Mille mots,2012,Tous Public,"['Comedy', 'Drama']",91,26,59.0,39975,18438149
Un Hologramme pour le Roi,2016,Tous Public,"['Comedy', 'Drama', 'Romance']",98,58,61.0,39878,4198126
Sale môme,2000,Tous publics,"['Comedy', 'Family', 'Fantasy']",104,45,61.0,39873,69691949
L'ombre du vampire,2000,Tous publics,"['Drama', 'Horror']",92,71,69.0,39789,8293784
New York Taxi,2004,Tous publics,"['Action', 'Comedy', 'Crime']",97,27,45.0,39760,36611066
La Forêt,2016,PG-13,"['Horror', 'Mystery', 'Thriller']",93,34,48.0,39699,26583369
The Skeleton Twins,2014,Tous publics,"['Comedy', 'Drama', 'Romance']",93,74,68.0,39639,5283379
Stronger,2017,Tous publics,"['Biography', 'Drama']",119,76,69.0,39632,4211129
The Do-Over,2016,16,"['Action', 'Adventure', 'Comedy']",108,22,57.0,3,NaN
Brick Mansions,2014,Tous publics avec avertissement,"['Action', 'Crime', 'Thriller']",90,40,57.0,39623,20285518
To the Bone,2017,16,['Drama'],107,64,68.0,3,NaN
Paranoïa,2018,12,"['Drama', 'Horror', 'Mystery']",98,63,64.0,39604,7732899
Piranha 3DD,2012,R,"['Comedy', 'Horror']",83,24,37.0,39604,376512
Bienvenue à Suburbicon,2017,12,"['Comedy', 'Thriller']",105,42,57.0,39583,5775178
Sur la route,2012,Tous publics,"['Adventure', 'Drama', 'Romance']",124,56,61.0,39562,717753
The Old Man & the Gun,2018,Not Rated,"['Biography', 'Comedy', 'Crime']",93,80,67.0,39554,11277120
Paranormal Activity: The Marked Ones,2014,12,"['Horror', 'Mystery']",84,42,50.0,39543,32462372
Petites confidences (à ma psy),2005,Tous publics,"['Comedy', 'Drama', 'Romance']",105,58,62.0,39455,22827153
All About Steve,2009,Tous Public,"['Comedy', 'Romance']",99,17,48.0,39401,33860010
L'affaire Josey Aimes,2005,Tous publics,['Drama'],126,68,73.0,39388,18324242
Le prodige,2014,Tous publics,"['Biography', 'Drama', 'Sport']",115,65,70.0,39310,2436062
Hannah Montana - Le film,2009,Tous Public,"['Comedy', 'Drama', 'Family']",102,47,45.0,39288,79566871
20th Century Women,2016,Tous publics,"['Comedy', 'Drama']",119,83,73.0,39278,5663855
Plus jamais,2002,12,"['Crime', 'Drama', 'Thriller']",115,25,58.0,39184,40007742
Combat de profs,2017,R,['Comedy'],91,37,56.0,39166,32187017
L'auberge espagnole,2002,Tous publics,"['Comedy', 'Drama', 'Romance']",122,65,73.0,39166,3895664
Paï : L'élue d'un peuple nouveau,2002,Tous publics,"['Drama', 'Family']",101,80,75.0,39126,20779666
Bye Bye Love,2003,Tous Public,"['Comedy', 'Romance']",101,52,63.0,39104,20298207
Absolutely Anything,2015,Tous Public,"['Comedy', 'Sci-Fi']",85,31,60.0,3,NaN
Frère Noël,2007,Tous publics,"['Comedy', 'Family', 'Fantasy']",116,42,56.0,39092,72006777
Anonymous,2011,Tous publics,"['Drama', 'Thriller']",130,50,69.0,39060,4463292
Driven,2001,Tous publics,"['Action', 'Drama', 'Sport']",116,29,46.0,39050,32720065
Stuber,2019,R,"['Action', 'Comedy', 'Crime']",93,42,62.0,39023,22370452
The Guard,2014,R,"['Drama', 'War']",117,54,69.0,38963,9837
Alabama Monroe,2012,Tous publics,"['Drama', 'Music', 'Romance']",111,70,78.0,38918,175058
Black Sheep,2006,12,"['Comedy', 'Horror', 'Sci-Fi']",87,62,58.0,38874,82987
Talaash,2012,NaN,"['Crime', 'Drama', 'Mystery']",140,65,72.0,38821,2706375
L'honneur des guerriers,2015,R,"['Action', 'Drama', 'History']",115,27,62.0,3,NaN
Le médaillon,2003,Tous publics,"['Action', 'Comedy', 'Fantasy']",88,38,53.0,38762,22108977
Morgane,2016,12,"['Action', 'Horror', 'Sci-Fi']",92,48,58.0,38746,3912052
Le Transporteur: Héritage,2015,Tous publics,"['Action', 'Adventure', 'Thriller']",96,32,52.0,38717,16029670
The Secret,2012,12,"['Crime', 'Drama', 'Horror']",106,52,59.0,3,NaN
In the Shadow of the Moon,2019,16,"['Crime', 'Mystery', 'Sci-Fi']",115,48,62.0,3,NaN
Cats,2019,Tous publics,"['Comedy', 'Drama', 'Family']",110,32,28.0,3,NaN
Ne t'endors pas,2016,PG-13,"['Drama', 'Fantasy', 'Horror']",97,68,62.0,3,NaN
Crimes et pouvoir,2002,Tous publics,"['Crime', 'Drama', 'Mystery']",115,48,64.0,38565,41543207
Trois enterrements,2005,Tous publics,"['Adventure', 'Crime', 'Drama']",121,77,74.0,38560,5023275
Mandarines,2013,NaN,"['Drama', 'War']",87,73,82.0,38558,144501
Gunman,2015,12,"['Action', 'Crime', 'Thriller']",115,39,58.0,38542,10640645
"Crève Smoochy, crève",2002,R,"['Comedy', 'Crime', 'Drama']",109,38,64.0,38500,8355815
Le cinquième pouvoir,2013,Tous publics,"['Biography', 'Crime', 'Drama']",128,49,62.0,38487,3254172
Coco avant Chanel,2009,Tous publics,"['Biography', 'Drama']",105,65,67.0,38429,6109075
Diablesse,2001,Tous publics,"['Comedy', 'Crime', 'Romance']",90,22,59.0,38423,19351569
Garfield 2,2006,Tous publics,"['Animation', 'Adventure', 'Comedy']",82,37,50.0,38412,28426747
Le fils de Chucky,2004,12,"['Comedy', 'Fantasy', 'Horror']",87,46,48.0,38403,17083732
Malveillance,2011,12,"['Drama', 'Horror', 'Thriller']",102,70,72.0,3,NaN
"Marie Stuart, Reine d'Écosse",2018,Tous publics,"['Biography', 'Drama', 'History']",124,60,63.0,38355,16468499
Hustle & Flow,2005,R,"['Crime', 'Drama', 'Music']",116,68,73.0,38345,22201636
The Dirt,2018,18,"['Biography', 'Comedy', 'Drama']",107,39,70.0,3,NaN
Lovelace,2013,Tous publics,"['Biography', 'Drama']",93,51,62.0,38314,356582
La famille Jones,2009,Tous publics,"['Comedy', 'Drama']",96,55,65.0,38260,1474508
The Green Inferno,2013,16,"['Adventure', 'Horror']",100,38,53.0,38217,7192291
Brooklyn Affairs,2019,Tous publics,"['Crime', 'Drama', 'Mystery']",144,60,68.0,3,NaN
Revenge,2010,R,"['Drama', 'Romance']",118,65,76.0,38192,1008098
Crossroads,2002,Tous publics,"['Comedy', 'Drama', 'Romance']",93,27,35.0,38164,37191304
Toy boy,2009,12,"['Comedy', 'Drama', 'Romance']",97,43,58.0,38145,249590
Appelez-moi Dave,2008,Tous publics,"['Adventure', 'Comedy', 'Family']",90,43,50.0,38129,11802056
Les messagers,2007,12,"['Drama', 'Horror', 'Thriller']",90,34,54.0,38110,35374833
Étreintes brisées,2009,Tous publics,"['Drama', 'Romance', 'Thriller']",127,76,72.0,38097,5014305
Narc,2002,12,"['Crime', 'Drama', 'Mystery']",105,70,71.0,38082,10460089
Judy,2019,Tous publics,"['Biography', 'Drama', 'Romance']",118,66,68.0,3,NaN
La femme du gardien de zoo,2017,Tous Public,"['Biography', 'Drama', 'History']",127,57,70.0,37930,17445186
Le vieux qui ne voulait pas fêter son anniversaire,2013,Tous publics,"['Adventure', 'Comedy']",114,58,71.0,37912,1083762
"Les enfants loups, Ame & Yuki",2012,Tous publics,"['Animation', 'Drama', 'Family']",117,71,81.0,3,NaN
Radio,2003,Tous Public,"['Biography', 'Drama', 'Sport']",109,38,69.0,37870,52277485
Voltage,2011,Tous Public,"['Action', 'Adventure', 'Sci-Fi']",156,60,47.0,37763,2511689
Cold Blood,2012,12,"['Crime', 'Drama', 'Thriller']",95,52,63.0,37757,65804
Le chevalier black,2001,Tous publics,"['Adventure', 'Comedy', 'Fantasy']",95,32,49.0,37744,33422806
Tigerland,2000,Tous publics,"['Drama', 'War']",101,55,69.0,37715,139692
Les suffragettes,2015,Tous publics,"['Drama', 'History']",106,66,69.0,37702,4693356
Permis de mariage,2007,Tous Public,"['Comedy', 'Romance']",91,25,53.0,37697,43799818
Maps to the Stars,2014,12,"['Comedy', 'Drama']",111,67,62.0,37621,347648
Un voisin trop parfait,2015,12,['Thriller'],91,30,47.0,37618,35385560
American Honey,2016,Tous publics avec avertissement,"['Drama', 'Romance']",163,80,70.0,37603,662786
Ma,2019,12 avec avertissement,"['Horror', 'Mystery', 'Thriller']",99,53,56.0,37581,45373120
Frères de sang,2004,12,"['Action', 'Drama', 'War']",140,64,81.0,37537,1111061
Aquamarine,2006,Tous publics,"['Comedy', 'Family', 'Fantasy']",110,51,53.0,37536,18595716
High-Rise,2015,12,"['Drama', 'Sci-Fi']",119,65,56.0,37532,343139
Be Happy,2008,Tous publics,"['Comedy', 'Drama', 'Romance']",118,84,70.0,37528,3494485
Downton Abbey,2019,Tous publics,"['Drama', 'Romance']",122,64,74.0,37492,96854135
Manipulation,2008,Tous publics,"['Crime', 'Drama', 'Mystery']",107,31,61.0,37470,4597760
Où sont passés les Morgan?,2009,Tous Public,"['Comedy', 'Drama', 'Romance']",103,27,48.0,37463,29580087
Le sortilège du scorpion de Jade,2001,Tous publics,"['Comedy', 'Crime', 'Mystery']",103,52,67.0,37454,7496522
Two Lovers,2008,Tous publics,"['Drama', 'Romance']",110,74,70.0,37452,3148482
Le Dragon des mers : La Dernière Légende,2007,Tous publics,"['Adventure', 'Family', 'Fantasy']",112,71,64.0,37452,40412817
Les Schtroumpfs 2,2013,Tous publics,"['Animation', 'Adventure', 'Comedy']",105,34,53.0,37429,71017784
Le Cercle: Rings,2017,12,"['Drama', 'Horror', 'Mystery']",102,25,45.0,37390,27780085
Halloween: Résurrection,2002,12,"['Horror', 'Thriller']",94,19,40.0,37390,30354442
Le conte de la princesse Kaguya,2013,Tous publics,"['Animation', 'Adventure', 'Drama']",137,89,80.0,37313,1506975
JCVD,2008,Tous publics,"['Action', 'Comedy', 'Crime']",97,64,71.0,37290,470691
Le prince et moi,2004,PG,"['Comedy', 'Family', 'Romance']",111,47,59.0,37229,28176497
Piège fatal,2000,12,"['Action', 'Adventure', 'Crime']",104,37,58.0,37193,23360779
Wasabi,2001,Tous publics,"['Action', 'Drama', 'Comedy']",94,53,67.0,37177,81525
Bastille Day,2016,Tous publics,"['Action', 'Crime', 'Drama']",92,48,63.0,37133,39000
American Animals,2018,10,"['Biography', 'Crime', 'Drama']",116,68,70.0,37131,2856954
Les voies du destin,2013,Tous publics,"['Biography', 'Drama', 'Romance']",116,59,71.0,37122,4438438
In the Bedroom,2001,Tous publics,"['Crime', 'Drama']",131,86,74.0,37107,35930604
A la recherche de l'homme parfait,2007,PG-13,"['Comedy', 'Romance']",102,26,57.0,37102,42674040
Cleaner,2007,Tous publics,"['Crime', 'Mystery', 'Thriller']",88,49,61.0,3,NaN
Dumb & dumberer - quand Harry rencontra Lloyd,2003,Tous publics,['Comedy'],85,19,34.0,37053,26276465
Basic Instinct 2,2006,12,"['Drama', 'Mystery', 'Thriller']",114,26,44.0,37036,5971336
World's Greatest Dad,2009,R,"['Comedy', 'Drama']",99,69,69.0,36994,221210
The Loved Ones,2009,16,"['Horror', 'Thriller']",84,73,66.0,3,NaN
Would You Rather,2012,NaN,"['Horror', 'Thriller']",93,20,57.0,3,NaN
"Lust, Caution",2007,12,"['Drama', 'History', 'Romance']",157,61,75.0,36934,4604982
